,PseudoTime1,PseudoTime2
TS_1_77,770,770
TS_1_78,780,780
TS_1_79,790,790
TS_1_80,800,800
TS_1_81,810,810
TS_1_82,820,820
TS_1_83,830,830
TS_1_84,840,840
TS_1_85,850,850
TS_1_86,860,860
TS_1_87,870,870
TS_1_88,880,880
TS_1_89,890,890
TS_1_90,900,900
TS_1_91,910,910
TS_1_92,920,920
TS_1_93,930,930
TS_1_94,940,940
TS_1_95,950,950
TS_1_96,960,960
TS_1_97,970,970
TS_1_98,980,980
TS_1_99,990,990
TS_1_100,1000,1000
TS_2_0,0,0
TS_2_1,10,10
TS_2_2,20,20
TS_2_3,30,30
TS_2_4,40,40
TS_2_5,50,50
TS_2_6,60,60
TS_2_7,70,70
TS_2_8,80,80
TS_2_9,90,90
TS_2_10,100,100
TS_2_11,110,110
TS_2_12,120,120
TS_2_13,130,130
TS_2_14,140,140
TS_2_15,150,150
TS_2_16,160,160
TS_2_17,170,170
TS_2_18,180,180
TS_2_19,190,190
TS_2_20,200,200
TS_2_21,210,210
TS_2_22,220,220
TS_2_23,230,230
TS_2_24,240,240
TS_2_25,250,250
TS_2_26,260,260
TS_2_27,270,270
TS_2_28,280,280
TS_2_29,290,290
TS_2_30,300,300
TS_2_31,310,310
TS_2_32,320,320
TS_2_33,330,330
TS_2_34,340,340
TS_2_35,350,350
TS_2_36,360,360
TS_2_37,370,370
TS_2_38,380,380
TS_2_39,390,390
TS_2_40,400,400
TS_2_41,410,410
TS_2_42,420,420
TS_2_43,430,430
TS_2_44,440,440
TS_2_45,450,450
TS_2_46,460,460
TS_2_47,470,470
TS_2_48,480,480
TS_2_49,490,490
TS_2_50,500,500
TS_2_51,510,510
TS_2_52,520,520
TS_2_53,530,530
TS_2_54,540,540
TS_2_55,550,550
TS_2_56,560,560
TS_2_57,570,570
TS_2_58,580,580
TS_2_59,590,590
TS_2_60,600,600
TS_2_61,610,610
TS_2_62,620,620
TS_2_63,630,630
TS_2_64,640,640
TS_2_65,650,650
TS_2_66,660,660
TS_2_67,670,670
TS_2_68,680,680
TS_2_69,690,690
TS_2_70,700,700
TS_2_71,710,710
TS_2_72,720,720
TS_2_73,730,730
TS_2_74,740,740
TS_2_75,750,750
TS_2_76,760,760
TS_2_77,770,770
TS_2_78,780,780
TS_2_79,790,790
TS_2_80,800,800
TS_2_81,810,810
TS_2_82,820,820
TS_2_83,830,830
TS_2_84,840,840
TS_2_85,850,850
TS_2_86,860,860
TS_2_87,870,870
TS_2_88,880,880
TS_2_89,890,890
TS_2_90,900,900
TS_2_91,910,910
TS_2_92,920,920
TS_2_93,930,930
TS_2_94,940,940
TS_2_95,950,950
TS_2_96,960,960
TS_2_97,970,970
TS_2_98,980,980
TS_2_99,990,990
TS_2_100,1000,1000
TS_3_0,0,0
TS_3_1,10,10
TS_3_2,20,20
TS_3_3,30,30
TS_3_4,40,40
TS_3_5,50,50
TS_3_6,60,60
TS_3_7,70,70
TS_3_8,80,80
TS_3_9,90,90
TS_3_10,100,100
TS_3_11,110,110
TS_3_12,120,120
TS_3_13,130,130
TS_3_14,140,140
TS_3_15,150,150
TS_3_16,160,160
TS_3_17,170,170
TS_3_18,180,180
TS_3_19,190,190
TS_3_20,200,200
TS_3_21,210,210
TS_3_22,220,220
TS_3_23,230,230
TS_3_24,240,240
TS_3_25,250,250
TS_3_26,260,260
TS_3_27,270,270
TS_3_28,280,280
TS_3_29,290,290
TS_3_30,300,300
TS_3_31,310,310
TS_3_32,320,320
TS_3_33,330,330
TS_3_34,340,340
TS_3_35,350,350
TS_3_36,360,360
TS_3_37,370,370
TS_3_38,380,380
TS_3_39,390,390
TS_3_40,400,400
TS_3_41,410,410
TS_3_42,420,420
TS_3_43,430,430
TS_3_44,440,440
TS_3_45,450,450
TS_3_46,460,460
TS_3_47,470,470
TS_3_48,480,480
TS_3_49,490,490
TS_3_50,500,500
TS_3_51,510,510
TS_3_52,520,520
TS_3_53,530,530
TS_3_54,540,540
TS_3_55,550,550
TS_3_56,560,560
TS_3_57,570,570
TS_3_58,580,580
TS_3_59,590,590
TS_3_60,600,600
TS_3_61,610,610
TS_3_62,620,620
TS_3_63,630,630
TS_3_64,640,640
TS_3_65,650,650
TS_3_66,660,660
TS_3_67,670,670
TS_3_68,680,680
TS_3_69,690,690
TS_3_70,700,700
TS_3_71,710,710
TS_3_72,720,720
TS_3_73,730,730
TS_3_74,740,740
TS_3_75,750,750
TS_3_76,760,760
TS_3_77,770,770
TS_3_78,780,780
TS_3_79,790,790
TS_3_80,800,800
TS_3_81,810,810
TS_3_82,820,820
TS_3_83,830,830
TS_3_84,840,840
TS_3_85,850,850
TS_3_86,860,860
TS_3_87,870,870
TS_3_88,880,880
TS_3_89,890,890
TS_3_90,900,900
TS_3_91,910,910
TS_3_92,920,920
TS_3_93,930,930
TS_3_94,940,940
TS_3_95,950,950
TS_3_96,960,960
TS_3_97,970,970
TS_3_98,980,980
TS_3_99,990,990
TS_3_100,1000,1000
TS_4_0,0,0
TS_4_1,10,10
TS_4_2,20,20
TS_4_3,30,30
TS_4_4,40,40
TS_4_5,50,50
TS_4_6,60,60
TS_4_7,70,70
TS_4_8,80,80
TS_4_9,90,90
TS_4_10,100,100
TS_4_11,110,110
TS_4_12,120,120
TS_4_13,130,130
TS_4_14,140,140
TS_4_15,150,150
TS_4_16,160,160
TS_4_17,170,170
TS_4_18,180,180
TS_4_19,190,190
TS_4_20,200,200
TS_4_21,210,210
TS_4_22,220,220
TS_4_23,230,230
TS_4_24,240,240
TS_4_25,250,250
TS_4_26,260,260
TS_4_27,270,270
TS_4_28,280,280
TS_4_29,290,290
TS_4_30,300,300
TS_4_31,310,310
TS_4_32,320,320
TS_4_33,330,330
TS_4_34,340,340
TS_4_35,350,350
TS_4_36,360,360
TS_4_37,370,370
TS_4_38,380,380
TS_4_39,390,390
TS_4_40,400,400
TS_4_41,410,410
TS_4_42,420,420
TS_4_43,430,430
TS_4_44,440,440
TS_4_45,450,450
TS_4_46,460,460
TS_4_47,470,470
TS_4_48,480,480
TS_4_49,490,490
TS_4_50,500,500
TS_4_51,510,510
TS_4_52,520,520
TS_4_53,530,530
TS_4_54,540,540
TS_4_55,550,550
TS_4_56,560,560
TS_4_57,570,570
TS_4_58,580,580
TS_4_59,590,590
TS_4_60,600,600
TS_4_61,610,610
TS_4_62,620,620
TS_4_63,630,630
TS_4_64,640,640
TS_4_65,650,650
TS_4_66,660,660
TS_4_67,670,670
TS_4_68,680,680
TS_4_69,690,690
TS_4_70,700,700
TS_4_71,710,710
TS_4_72,720,720
TS_4_73,730,730
TS_4_74,740,740
TS_4_75,750,750
TS_4_76,760,760
TS_4_77,770,770
TS_4_78,780,780
TS_4_79,790,790
TS_4_80,800,800
TS_4_81,810,810
TS_4_82,820,820
TS_4_83,830,830
TS_4_84,840,840
TS_4_85,850,850
TS_4_86,860,860
TS_4_87,870,870
TS_4_88,880,880
TS_4_89,890,890
TS_4_90,900,900
TS_4_91,910,910
TS_4_92,920,920
TS_4_93,930,930
TS_4_94,940,940
TS_4_95,950,950
TS_4_96,960,960
TS_4_97,970,970
TS_4_98,980,980
TS_4_99,990,990
TS_4_100,1000,1000
TS_5_0,0,0
TS_5_1,10,10
TS_5_2,20,20
TS_5_3,30,30
TS_5_4,40,40
TS_5_5,50,50
TS_5_6,60,60
TS_5_7,70,70
TS_5_8,80,80
TS_5_9,90,90
TS_5_10,100,100
TS_5_11,110,110
TS_5_12,120,120
TS_5_13,130,130
TS_5_14,140,140
TS_5_15,150,150
TS_5_16,160,160
TS_5_17,170,170
TS_5_18,180,180
TS_5_19,190,190
TS_5_20,200,200
TS_5_21,210,210
TS_5_22,220,220
TS_5_23,230,230
TS_5_24,240,240
TS_5_25,250,250
TS_5_26,260,260
TS_5_27,270,270
TS_5_28,280,280
TS_5_29,290,290
TS_5_30,300,300
TS_5_31,310,310
TS_5_32,320,320
TS_5_33,330,330
TS_5_34,340,340
TS_5_35,350,350
TS_5_36,360,360
TS_5_37,370,370
TS_5_38,380,380
TS_5_39,390,390
TS_5_40,400,400
TS_5_41,410,410
TS_5_42,420,420
TS_5_43,430,430
TS_5_44,440,440
TS_5_45,450,450
TS_5_46,460,460
TS_5_47,470,470
TS_5_48,480,480
TS_5_49,490,490
TS_5_50,500,500
TS_5_51,510,510
TS_5_52,520,520
TS_5_53,530,530
TS_5_54,540,540
TS_5_55,550,550
TS_5_56,560,560
TS_5_57,570,570
TS_5_58,580,580
TS_5_59,590,590
TS_5_60,600,600
TS_5_61,610,610
TS_5_62,620,620
TS_5_63,630,630
TS_5_64,640,640
TS_5_65,650,650
TS_5_66,660,660
TS_5_67,670,670
TS_5_68,680,680
TS_5_69,690,690
TS_5_70,700,700
TS_5_71,710,710
TS_5_72,720,720
TS_5_73,730,730
TS_5_74,740,740
TS_5_75,750,750
TS_5_76,760,760
TS_5_77,770,770
TS_5_78,780,780
TS_5_79,790,790
TS_5_80,800,800
TS_5_81,810,810
TS_5_82,820,820
TS_5_83,830,830
TS_5_84,840,840
TS_5_85,850,850
TS_5_86,860,860
TS_5_87,870,870
TS_5_88,880,880
TS_5_89,890,890
TS_5_90,900,900
TS_5_91,910,910
TS_5_92,920,920
TS_5_93,930,930
TS_5_94,940,940
TS_5_95,950,950
TS_5_96,960,960
TS_5_97,970,970
TS_5_98,980,980
TS_5_99,990,990
TS_5_100,1000,1000
TS_6_0,0,0
TS_6_1,10,10
TS_6_2,20,20
TS_6_3,30,30
TS_6_4,40,40
TS_6_5,50,50
TS_6_6,60,60
TS_6_7,70,70
TS_6_8,80,80
TS_6_9,90,90
TS_6_10,100,100
TS_6_11,110,110
TS_6_12,120,120
TS_6_13,130,130
TS_6_14,140,140
TS_6_15,150,150
TS_6_16,160,160
TS_6_17,170,170
TS_6_18,180,180
TS_6_19,190,190
TS_6_20,200,200
TS_6_21,210,210
TS_6_22,220,220
TS_6_23,230,230
TS_6_24,240,240
TS_6_25,250,250
TS_6_26,260,260
TS_6_27,270,270
TS_6_28,280,280
TS_6_29,290,290
TS_6_30,300,300
TS_6_31,310,310
TS_6_32,320,320
TS_6_33,330,330
TS_6_34,340,340
TS_6_35,350,350
TS_6_36,360,360
TS_6_37,370,370
TS_6_38,380,380
TS_6_39,390,390
TS_6_40,400,400
TS_6_41,410,410
TS_6_42,420,420
TS_6_43,430,430
TS_6_44,440,440
TS_6_45,450,450
TS_6_46,460,460
TS_6_47,470,470
TS_6_48,480,480
TS_6_49,490,490
TS_6_50,500,500
TS_6_51,510,510
TS_6_52,520,520
TS_6_53,530,530
TS_6_54,540,540
TS_6_55,550,550
TS_6_56,560,560
TS_6_57,570,570
TS_6_58,580,580
TS_6_59,590,590
TS_6_60,600,600
TS_6_61,610,610
TS_6_62,620,620
TS_6_63,630,630
TS_6_64,640,640
TS_6_65,650,650
TS_6_66,660,660
TS_6_67,670,670
TS_6_68,680,680
TS_6_69,690,690
TS_6_70,700,700
TS_6_71,710,710
TS_6_72,720,720
TS_6_73,730,730
TS_6_74,740,740
TS_6_75,750,750
TS_6_76,760,760
TS_6_77,770,770
TS_6_78,780,780
TS_6_79,790,790
TS_6_80,800,800
TS_6_81,810,810
TS_6_82,820,820
TS_6_83,830,830
TS_6_84,840,840
TS_6_85,850,850
TS_6_86,860,860
TS_6_87,870,870
TS_6_88,880,880
TS_6_89,890,890
TS_6_90,900,900
TS_6_91,910,910
TS_6_92,920,920
TS_6_93,930,930
TS_6_94,940,940
TS_6_95,950,950
TS_6_96,960,960
TS_6_97,970,970
TS_6_98,980,980
TS_6_99,990,990
TS_6_100,1000,1000
TS_7_0,0,0
TS_7_1,10,10
TS_7_2,20,20
TS_7_3,30,30
TS_7_4,40,40
TS_7_5,50,50
TS_7_6,60,60
TS_7_7,70,70
TS_7_8,80,80
TS_7_9,90,90
TS_7_10,100,100
TS_7_11,110,110
TS_7_12,120,120
TS_7_13,130,130
TS_7_14,140,140
TS_7_15,150,150
TS_7_16,160,160
TS_7_17,170,170
TS_7_18,180,180
TS_7_19,190,190
TS_7_20,200,200
TS_7_21,210,210
TS_7_22,220,220
TS_7_23,230,230
TS_7_24,240,240
TS_7_25,250,250
TS_7_26,260,260
TS_7_27,270,270
TS_7_28,280,280
TS_7_29,290,290
TS_7_30,300,300
TS_7_31,310,310
TS_7_32,320,320
TS_7_33,330,330
TS_7_34,340,340
TS_7_35,350,350
TS_7_36,360,360
TS_7_37,370,370
TS_7_38,380,380
TS_7_39,390,390
TS_7_40,400,400
TS_7_41,410,410
TS_7_42,420,420
TS_7_43,430,430
TS_7_44,440,440
TS_7_45,450,450
TS_7_46,460,460
TS_7_47,470,470
TS_7_48,480,480
TS_7_49,490,490
TS_7_50,500,500
TS_7_51,510,510
TS_7_52,520,520
TS_7_53,530,530
TS_7_54,540,540
TS_7_55,550,550
TS_7_56,560,560
TS_7_57,570,570
TS_7_58,580,580
TS_7_59,590,590
TS_7_60,600,600
TS_7_61,610,610
TS_7_62,620,620
TS_7_63,630,630
TS_7_64,640,640
TS_7_65,650,650
TS_7_66,660,660
TS_7_67,670,670
TS_7_68,680,680
TS_7_69,690,690
TS_7_70,700,700
TS_7_71,710,710
TS_7_72,720,720
TS_7_73,730,730
TS_7_74,740,740
TS_7_75,750,750
TS_7_76,760,760
TS_7_77,770,770
TS_7_78,780,780
TS_7_79,790,790
TS_7_80,800,800
TS_7_81,810,810
TS_7_82,820,820
TS_7_83,830,830
TS_7_84,840,840
TS_7_85,850,850
TS_7_86,860,860
TS_7_87,870,870
TS_7_88,880,880
TS_7_89,890,890
TS_7_90,900,900
TS_7_91,910,910
TS_7_92,920,920
TS_7_93,930,930
TS_7_94,940,940
TS_7_95,950,950
TS_7_96,960,960
TS_7_97,970,970
TS_7_98,980,980
TS_7_99,990,990
TS_7_100,1000,1000
TS_8_0,0,0
TS_8_1,10,10
TS_8_2,20,20
TS_8_3,30,30
TS_8_4,40,40
TS_8_5,50,50
TS_8_6,60,60
TS_8_7,70,70
TS_8_8,80,80
TS_8_9,90,90
TS_8_10,100,100
TS_8_11,110,110
TS_8_12,120,120
TS_8_13,130,130
TS_8_14,140,140
TS_8_15,150,150
TS_8_16,160,160
TS_8_17,170,170
TS_8_18,180,180
TS_8_19,190,190
TS_8_20,200,200
TS_8_21,210,210
TS_8_22,220,220
TS_8_23,230,230
TS_8_24,240,240
TS_8_25,250,250
TS_8_26,260,260
TS_8_27,270,270
TS_8_28,280,280
TS_8_29,290,290
TS_8_30,300,300
TS_8_31,310,310
TS_8_32,320,320
TS_8_33,330,330
TS_8_34,340,340
TS_8_35,350,350
TS_8_36,360,360
TS_8_37,370,370
TS_8_38,380,380
TS_8_39,390,390
TS_8_40,400,400
TS_8_41,410,410
TS_8_42,420,420
TS_8_43,430,430
TS_8_44,440,440
TS_8_45,450,450
TS_8_46,460,460
TS_8_47,470,470
TS_8_48,480,480
TS_8_49,490,490
TS_8_50,500,500
TS_8_51,510,510
TS_8_52,520,520
TS_8_53,530,530
TS_8_54,540,540
TS_8_55,550,550
TS_8_56,560,560
TS_8_57,570,570
TS_8_58,580,580
TS_8_59,590,590
TS_8_60,600,600
TS_8_61,610,610
TS_8_62,620,620
TS_8_63,630,630
TS_8_64,640,640
TS_8_65,650,650
TS_8_66,660,660
TS_8_67,670,670
TS_8_68,680,680
TS_8_69,690,690
TS_8_70,700,700
TS_8_71,710,710
TS_8_72,720,720
TS_8_73,730,730
TS_8_74,740,740
TS_8_75,750,750
TS_8_76,760,760
TS_8_77,770,770
TS_8_78,780,780
TS_8_79,790,790
TS_8_80,800,800
TS_8_81,810,810
TS_8_82,820,820
TS_8_83,830,830
TS_8_84,840,840
TS_8_85,850,850
TS_8_86,860,860
TS_8_87,870,870
TS_8_88,880,880
TS_8_89,890,890
TS_8_90,900,900
TS_8_91,910,910
TS_8_92,920,920
TS_8_93,930,930
TS_8_94,940,940
TS_8_95,950,950
TS_8_96,960,960
TS_8_97,970,970
TS_8_98,980,980
TS_8_99,990,990
TS_8_100,1000,1000
TS_9_0,0,0
TS_9_1,10,10
TS_9_2,20,20
TS_9_3,30,30
TS_9_4,40,40
TS_9_5,50,50
TS_9_6,60,60
TS_9_7,70,70
TS_9_8,80,80
TS_9_9,90,90
TS_9_10,100,100
TS_9_11,110,110
TS_9_12,120,120
TS_9_13,130,130
TS_9_14,140,140
TS_9_15,150,150
TS_9_16,160,160
TS_9_17,170,170
TS_9_18,180,180
TS_9_19,190,190
TS_9_20,200,200
TS_9_21,210,210
TS_9_22,220,220
TS_9_23,230,230
TS_9_24,240,240
TS_9_25,250,250
TS_9_26,260,260
TS_9_27,270,270
TS_9_28,280,280
TS_9_29,290,290
TS_9_30,300,300
TS_9_31,310,310
TS_9_32,320,320
TS_9_33,330,330
TS_9_34,340,340
TS_9_35,350,350
TS_9_36,360,360
TS_9_37,370,370
TS_9_38,380,380
TS_9_39,390,390
TS_9_40,400,400
TS_9_41,410,410
TS_9_42,420,420
TS_9_43,430,430
TS_9_44,440,440
TS_9_45,450,450
TS_9_46,460,460
TS_9_47,470,470
TS_9_48,480,480
TS_9_49,490,490
TS_9_50,500,500
TS_9_51,510,510
TS_9_52,520,520
TS_9_53,530,530
TS_9_54,540,540
TS_9_55,550,550
TS_9_56,560,560
TS_9_57,570,570
TS_9_58,580,580
TS_9_59,590,590
TS_9_60,600,600
TS_9_61,610,610
TS_9_62,620,620
TS_9_63,630,630
TS_9_64,640,640
TS_9_65,650,650
TS_9_66,660,660
TS_9_67,670,670
TS_9_68,680,680
TS_9_69,690,690
TS_9_70,700,700
TS_9_71,710,710
TS_9_72,720,720
TS_9_73,730,730
TS_9_74,740,740
TS_9_75,750,750
TS_9_76,760,760
TS_9_77,770,770
TS_9_78,780,780
TS_9_79,790,790
TS_9_80,800,800
TS_9_81,810,810
TS_9_82,820,820
TS_9_83,830,830
TS_9_84,840,840
TS_9_85,850,850
TS_9_86,860,860
TS_9_87,870,870
TS_9_88,880,880
TS_9_89,890,890
TS_9_90,900,900
TS_9_91,910,910
TS_9_92,920,920
TS_9_93,930,930
TS_9_94,940,940
TS_9_95,950,950
TS_9_96,960,960
TS_9_97,970,970
TS_9_98,980,980
TS_9_99,990,990
TS_9_100,1000,1000
