,PseudoTime1,PseudoTime2
TS_4_37,740,740
TS_4_38,760,760
TS_4_39,780,780
TS_4_40,800,800
TS_4_41,820,820
TS_4_42,840,840
TS_4_43,860,860
TS_4_44,880,880
TS_4_45,900,900
TS_4_46,920,920
TS_4_47,940,940
TS_4_48,960,960
TS_4_49,980,980
TS_4_50,1000,1000
TS_5_0,0,0
TS_5_1,20,20
TS_5_2,40,40
TS_5_3,60,60
TS_5_4,80,80
TS_5_5,100,100
TS_5_6,120,120
TS_5_7,140,140
TS_5_8,160,160
TS_5_9,180,180
TS_5_10,200,200
TS_5_11,220,220
TS_5_12,240,240
TS_5_13,260,260
TS_5_14,280,280
TS_5_15,300,300
TS_5_16,320,320
TS_5_17,340,340
TS_5_18,360,360
TS_5_19,380,380
TS_5_20,400,400
TS_5_21,420,420
TS_5_22,440,440
TS_5_23,460,460
TS_5_24,480,480
TS_5_25,500,500
TS_5_26,520,520
TS_5_27,540,540
TS_5_28,560,560
TS_5_29,580,580
TS_5_30,600,600
TS_5_31,620,620
TS_5_32,640,640
TS_5_33,660,660
TS_5_34,680,680
TS_5_35,700,700
TS_5_36,720,720
TS_5_37,740,740
TS_5_38,760,760
TS_5_39,780,780
TS_5_40,800,800
TS_5_41,820,820
TS_5_42,840,840
TS_5_43,860,860
TS_5_44,880,880
TS_5_45,900,900
TS_5_46,920,920
TS_5_47,940,940
TS_5_48,960,960
TS_5_49,980,980
TS_5_50,1000,1000
TS_6_0,0,0
TS_6_1,20,20
TS_6_2,40,40
TS_6_3,60,60
TS_6_4,80,80
TS_6_5,100,100
TS_6_6,120,120
TS_6_7,140,140
TS_6_8,160,160
TS_6_9,180,180
TS_6_10,200,200
TS_6_11,220,220
TS_6_12,240,240
TS_6_13,260,260
TS_6_14,280,280
TS_6_15,300,300
TS_6_16,320,320
TS_6_17,340,340
TS_6_18,360,360
TS_6_19,380,380
TS_6_20,400,400
TS_6_21,420,420
TS_6_22,440,440
TS_6_23,460,460
TS_6_24,480,480
TS_6_25,500,500
TS_6_26,520,520
TS_6_27,540,540
TS_6_28,560,560
TS_6_29,580,580
TS_6_30,600,600
TS_6_31,620,620
TS_6_32,640,640
TS_6_33,660,660
TS_6_34,680,680
TS_6_35,700,700
TS_6_36,720,720
TS_6_37,740,740
TS_6_38,760,760
TS_6_39,780,780
TS_6_40,800,800
TS_6_41,820,820
TS_6_42,840,840
TS_6_43,860,860
TS_6_44,880,880
TS_6_45,900,900
TS_6_46,920,920
TS_6_47,940,940
TS_6_48,960,960
TS_6_49,980,980
TS_6_50,1000,1000
TS_7_0,0,0
TS_7_1,20,20
TS_7_2,40,40
TS_7_3,60,60
TS_7_4,80,80
TS_7_5,100,100
TS_7_6,120,120
TS_7_7,140,140
TS_7_8,160,160
TS_7_9,180,180
TS_7_10,200,200
TS_7_11,220,220
TS_7_12,240,240
TS_7_13,260,260
TS_7_14,280,280
TS_7_15,300,300
TS_7_16,320,320
TS_7_17,340,340
TS_7_18,360,360
TS_7_19,380,380
TS_7_20,400,400
TS_7_21,420,420
TS_7_22,440,440
TS_7_23,460,460
TS_7_24,480,480
TS_7_25,500,500
TS_7_26,520,520
TS_7_27,540,540
TS_7_28,560,560
TS_7_29,580,580
TS_7_30,600,600
TS_7_31,620,620
TS_7_32,640,640
TS_7_33,660,660
TS_7_34,680,680
TS_7_35,700,700
TS_7_36,720,720
TS_7_37,740,740
TS_7_38,760,760
TS_7_39,780,780
TS_7_40,800,800
TS_7_41,820,820
TS_7_42,840,840
TS_7_43,860,860
TS_7_44,880,880
TS_7_45,900,900
TS_7_46,920,920
TS_7_47,940,940
TS_7_48,960,960
TS_7_49,980,980
TS_7_50,1000,1000
TS_8_0,0,0
TS_8_1,20,20
TS_8_2,40,40
TS_8_3,60,60
TS_8_4,80,80
TS_8_5,100,100
TS_8_6,120,120
TS_8_7,140,140
TS_8_8,160,160
TS_8_9,180,180
TS_8_10,200,200
TS_8_11,220,220
TS_8_12,240,240
TS_8_13,260,260
TS_8_14,280,280
TS_8_15,300,300
TS_8_16,320,320
TS_8_17,340,340
TS_8_18,360,360
TS_8_19,380,380
TS_8_20,400,400
TS_8_21,420,420
TS_8_22,440,440
TS_8_23,460,460
TS_8_24,480,480
TS_8_25,500,500
TS_8_26,520,520
TS_8_27,540,540
TS_8_28,560,560
TS_8_29,580,580
TS_8_30,600,600
TS_8_31,620,620
TS_8_32,640,640
TS_8_33,660,660
TS_8_34,680,680
TS_8_35,700,700
TS_8_36,720,720
TS_8_37,740,740
TS_8_38,760,760
TS_8_39,780,780
TS_8_40,800,800
TS_8_41,820,820
TS_8_42,840,840
TS_8_43,860,860
TS_8_44,880,880
TS_8_45,900,900
TS_8_46,920,920
TS_8_47,940,940
TS_8_48,960,960
TS_8_49,980,980
TS_8_50,1000,1000
TS_9_0,0,0
TS_9_1,20,20
TS_9_2,40,40
TS_9_3,60,60
TS_9_4,80,80
TS_9_5,100,100
TS_9_6,120,120
TS_9_7,140,140
TS_9_8,160,160
TS_9_9,180,180
TS_9_10,200,200
TS_9_11,220,220
TS_9_12,240,240
TS_9_13,260,260
TS_9_14,280,280
TS_9_15,300,300
TS_9_16,320,320
TS_9_17,340,340
TS_9_18,360,360
TS_9_19,380,380
TS_9_20,400,400
TS_9_21,420,420
TS_9_22,440,440
TS_9_23,460,460
TS_9_24,480,480
TS_9_25,500,500
TS_9_26,520,520
TS_9_27,540,540
TS_9_28,560,560
TS_9_29,580,580
TS_9_30,600,600
TS_9_31,620,620
TS_9_32,640,640
TS_9_33,660,660
TS_9_34,680,680
TS_9_35,700,700
TS_9_36,720,720
TS_9_37,740,740
TS_9_38,760,760
TS_9_39,780,780
TS_9_40,800,800
TS_9_41,820,820
TS_9_42,840,840
TS_9_43,860,860
TS_9_44,880,880
TS_9_45,900,900
TS_9_46,920,920
TS_9_47,940,940
TS_9_48,960,960
TS_9_49,980,980
TS_9_50,1000,1000
