,PseudoTime1,PseudoTime2
TS_5_34,850,850
TS_5_35,875,875
TS_5_36,900,900
TS_5_37,925,925
TS_5_38,950,950
TS_5_39,975,975
TS_5_40,1000,1000
TS_6_0,0,0
TS_6_1,25,25
TS_6_2,50,50
TS_6_3,75,75
TS_6_4,100,100
TS_6_5,125,125
TS_6_6,150,150
TS_6_7,175,175
TS_6_8,200,200
TS_6_9,225,225
TS_6_10,250,250
TS_6_11,275,275
TS_6_12,300,300
TS_6_13,325,325
TS_6_14,350,350
TS_6_15,375,375
TS_6_16,400,400
TS_6_17,425,425
TS_6_18,450,450
TS_6_19,475,475
TS_6_20,500,500
TS_6_21,525,525
TS_6_22,550,550
TS_6_23,575,575
TS_6_24,600,600
TS_6_25,625,625
TS_6_26,650,650
TS_6_27,675,675
TS_6_28,700,700
TS_6_29,725,725
TS_6_30,750,750
TS_6_31,775,775
TS_6_32,800,800
TS_6_33,825,825
TS_6_34,850,850
TS_6_35,875,875
TS_6_36,900,900
TS_6_37,925,925
TS_6_38,950,950
TS_6_39,975,975
TS_6_40,1000,1000
TS_7_0,0,0
TS_7_1,25,25
TS_7_2,50,50
TS_7_3,75,75
TS_7_4,100,100
TS_7_5,125,125
TS_7_6,150,150
TS_7_7,175,175
TS_7_8,200,200
TS_7_9,225,225
TS_7_10,250,250
TS_7_11,275,275
TS_7_12,300,300
TS_7_13,325,325
TS_7_14,350,350
TS_7_15,375,375
TS_7_16,400,400
TS_7_17,425,425
TS_7_18,450,450
TS_7_19,475,475
TS_7_20,500,500
TS_7_21,525,525
TS_7_22,550,550
TS_7_23,575,575
TS_7_24,600,600
TS_7_25,625,625
TS_7_26,650,650
TS_7_27,675,675
TS_7_28,700,700
TS_7_29,725,725
TS_7_30,750,750
TS_7_31,775,775
TS_7_32,800,800
TS_7_33,825,825
TS_7_34,850,850
TS_7_35,875,875
TS_7_36,900,900
TS_7_37,925,925
TS_7_38,950,950
TS_7_39,975,975
TS_7_40,1000,1000
TS_8_0,0,0
TS_8_1,25,25
TS_8_2,50,50
TS_8_3,75,75
TS_8_4,100,100
TS_8_5,125,125
TS_8_6,150,150
TS_8_7,175,175
TS_8_8,200,200
TS_8_9,225,225
TS_8_10,250,250
TS_8_11,275,275
TS_8_12,300,300
TS_8_13,325,325
TS_8_14,350,350
TS_8_15,375,375
TS_8_16,400,400
TS_8_17,425,425
TS_8_18,450,450
TS_8_19,475,475
TS_8_20,500,500
TS_8_21,525,525
TS_8_22,550,550
TS_8_23,575,575
TS_8_24,600,600
TS_8_25,625,625
TS_8_26,650,650
TS_8_27,675,675
TS_8_28,700,700
TS_8_29,725,725
TS_8_30,750,750
TS_8_31,775,775
TS_8_32,800,800
TS_8_33,825,825
TS_8_34,850,850
TS_8_35,875,875
TS_8_36,900,900
TS_8_37,925,925
TS_8_38,950,950
TS_8_39,975,975
TS_8_40,1000,1000
TS_9_0,0,0
TS_9_1,25,25
TS_9_2,50,50
TS_9_3,75,75
TS_9_4,100,100
TS_9_5,125,125
TS_9_6,150,150
TS_9_7,175,175
TS_9_8,200,200
TS_9_9,225,225
TS_9_10,250,250
TS_9_11,275,275
TS_9_12,300,300
TS_9_13,325,325
TS_9_14,350,350
TS_9_15,375,375
TS_9_16,400,400
TS_9_17,425,425
TS_9_18,450,450
TS_9_19,475,475
TS_9_20,500,500
TS_9_21,525,525
TS_9_22,550,550
TS_9_23,575,575
TS_9_24,600,600
TS_9_25,625,625
TS_9_26,650,650
TS_9_27,675,675
TS_9_28,700,700
TS_9_29,725,725
TS_9_30,750,750
TS_9_31,775,775
TS_9_32,800,800
TS_9_33,825,825
TS_9_34,850,850
TS_9_35,875,875
TS_9_36,900,900
TS_9_37,925,925
TS_9_38,950,950
TS_9_39,975,975
TS_9_40,1000,1000
