malK	malT	malZ	malP	lamB	malQ	malM	malF	malG	malE	malS	dgsA	ynfK	ptsI	crr	fruR	ptsH	manY	manX	manZ	nagC	pfkA	glk	yahA	fruB	pck	fruK	pykF	ppsA	glmU	fruA	eno	glmS	nagE	aroP	gapA	icd	epd	nagB	nagD	pgk	edd	fbaA	chbB	chbR	crp	chbF	chbA	chbG	chbC	nanM	nanC	nagA	mtlD	mtlR	mtlA	acnA	galP	acnB	ptsG	aceK	aceB	iclR	aceA	nanR	nanK	yhcH	nanT	nanA	nanE	fimB	nirB	nirD	nirC	cysG	galS	mglB	galR	galT	mglC	galM	galK	hupB	galE	hupA	mglA	seqA	pgm	tyrP	mtr	tyrR	aroF	mpl	glgC	cyaR	glgS	ilvN	glgP	glpE	ilvB
0.7493436	0.3915776	0.3494765	0.6609587	0.4358606	0.3943914	0.2221119	0.6240045	0.6087862	0.4974404	0.6257006	0.4051069	0.4529099	0.0691928	0.6171955	0.7654269	0.2561454	0.6616100	0.3106874	0.2978568	0.0000000	0.1309000	0.1314160	0.0302198	0.0591202	0.4247142	0.2032445	0.2994270	0.6618643	0.7267097	0.3793005	0.1518050	0.8170901	0.8249008	0.4494468	0.1886980	0.6010498	0.0939629	0.7655575	0.6924680	0.2795948	0.1000970	0.7204898	0.0447422	0.0000000	0.7065788	0.5720835	0.7756680	0.6616086	0.5788535	0.7535540	0.7213794	0.1741830	0.6292694	0.4768357	0.1395302	0.7981958	0.6658978	0.4253337	0.2440422	0.1633814	0.6603964	0.6356729	0.2760786	0.6818112	0.2302706	0.8242472	0.3330578	0.1373440	0.8038550	0.3084685	0.0229165	0.1281582	0.1046126	0.0760023	0.0299927	0.7699315	0.7758105	0.1943543	0.6707141	0.3882146	0.0835101	0.4890224	0.6325392	0.6526074	0.7282058	0.0386497	0.0029795	0.0589020	0.6704939	0.7219394	0.1242893	0.7702586	0.5137564	0.7434971	0.7441551	0.4890465	0.3097286	0.6500514	0.6556767
0.0058467	0.0078422	0.0189330	0.0874555	0.0151149	0.0182815	0.0120448	0.0085964	0.1119551	0.0026654	0.0389331	0.0959300	0.3182883	0.3524775	0.3925318	0.8037622	0.6855729	0.6545081	0.1318093	0.0488055	0.0502956	0.2384934	0.1621457	0.0355991	0.0570697	0.6261752	0.1985651	0.2749060	0.8463997	0.5799297	0.4112652	0.2070589	0.7871768	0.7157762	0.4707522	0.0060619	0.7015922	0.0172517	0.6404413	0.4299921	0.0008881	0.0801655	0.0400360	0.0581470	0.0000000	0.0000000	0.4014565	0.4085368	0.3915358	0.2828860	0.7725935	0.8265908	0.7090814	0.6385513	0.1935746	0.1554490	0.0000909	0.6956423	0.0375183	0.3591152	0.4056446	0.6458527	0.6788890	0.4105989	0.7052632	0.0520957	0.1744360	0.0724655	0.0014118	0.3535912	0.6169390	0.2488038	0.7036905	0.1664801	0.3307425	0.0221149	0.3361895	0.7683405	0.4162206	0.5638636	0.6360258	0.1389541	0.0029786	0.8287929	0.0295487	0.6474078	0.7240620	0.5798706	0.6903847	0.7022657	0.7139701	0.1026506	0.0417717	0.0035715	0.0158572	0.0005264	0.0524324	0.0584482	0.0342984	0.0716130
0.0069382	0.0119898	0.0111561	0.0734948	0.0603286	0.0156482	0.0125205	0.0053474	0.1058856	0.0121072	0.0903370	0.0449443	0.3481964	0.2772550	0.3405759	0.6494219	0.6777478	0.7267084	0.0647175	0.0554749	0.0454584	0.1512551	0.0760826	0.0412869	0.0404496	0.4722289	0.1933343	0.2568273	0.7057876	0.6890456	0.4177843	0.1465745	0.7399822	0.7356181	0.4412327	0.0002224	0.7346924	0.0190999	0.6191407	0.4927249	0.0102757	0.1081183	0.0201309	0.0262329	0.0454214	0.0000000	0.3675986	0.3824990	0.4111311	0.3841119	0.7359587	0.6526197	0.7454360	0.5255134	0.1746040	0.2131610	0.0035522	0.6728530	0.0131817	0.3227202	0.4820751	0.7384523	0.7092379	0.4586157	0.8156000	0.0635771	0.1857113	0.0593570	0.0043748	0.2797546	0.5822587	0.2272970	0.8076876	0.1312656	0.2200276	0.0293341	0.3477923	0.7342659	0.4254673	0.7909029	0.7635191	0.3520856	0.0000000	0.6764467	0.0169738	0.7412101	0.6861669	0.6378385	0.8384643	0.8239981	0.7654203	0.0935187	0.0513734	0.0083985	0.0147002	0.0094664	0.0508543	0.0580889	0.0824932	0.0647650
0.0148442	0.0041832	0.0134039	0.1006000	0.0456459	0.0038770	0.0124066	0.0027984	0.1422983	0.0118321	0.0350251	0.0800541	0.3668624	0.3755941	0.3516768	0.6436451	0.6871595	0.8062227	0.0530703	0.0145946	0.0538310	0.1977046	0.1233908	0.0831068	0.0858286	0.6010140	0.2173097	0.3191711	0.6294962	0.6866800	0.5091176	0.2012425	0.7100930	0.8430225	0.4564732	0.0003274	0.7062737	0.0164207	0.6409850	0.4145091	0.0002466	0.0884924	0.0076536	0.0486652	0.0481472	0.0000000	0.3690271	0.3453818	0.3715424	0.3450043	0.7335766	0.7154998	0.7469922	0.5837955	0.1777427	0.2750929	0.0005825	0.8941579	0.0148337	0.4058336	0.4400677	0.8493261	0.6733240	0.4317457	0.6889038	0.0379340	0.2517794	0.1170817	0.0001606	0.3276157	0.5190571	0.2789813	0.8049477	0.1121714	0.2992285	0.0203044	0.2563958	0.6567181	0.4827907	0.7398306	0.7357240	0.2442230	0.0213337	0.5805411	0.0000000	0.6901666	0.8233171	0.6792432	0.6780788	0.7025028	0.7226653	0.1675751	0.0814232	0.0020237	0.0148450	0.0040050	0.1123546	0.0432473	0.0944219	0.1031215
0.5297935	0.5315544	0.3012861	0.6604251	0.5587266	0.3549782	0.2165848	0.6746123	0.6047748	0.3802141	0.5918682	0.4634602	0.4811206	0.1268081	0.4932225	0.8388693	0.3717406	0.7087669	0.0838031	0.1274993	0.4631139	0.1965396	0.1199370	0.0777191	0.0681901	0.4967783	0.2309641	0.2315268	0.6613573	0.0465008	0.4149701	0.1722688	0.1784533	0.5954586	0.3316343	0.1689523	0.8378927	0.0480103	0.0658187	0.6862077	0.3234896	0.1736590	0.6349086	0.0478053	0.0316459	0.6696315	0.6899019	0.5969902	0.7362810	0.3524261	0.8361223	0.5936608	0.1174620	0.6863551	0.4767205	0.2303440	0.7404415	0.5792903	0.4071200	0.2145356	0.0958595	0.6905432	0.8050154	0.3267519	0.7288247	0.1796924	0.7484702	0.3455673	0.1005387	0.5975059	0.5134869	0.0620608	0.1131539	0.0682885	0.0532932	0.0000000	0.6039795	0.6665858	0.5048270	0.6708703	0.5834348	0.2227883	0.0000000	0.6443058	0.6849920	0.7411684	0.5733551	0.7617209	0.7181018	0.6593896	0.7289244	0.1075137	0.6173461	0.4858571	0.5799705	0.6814389	0.4994530	0.3090758	0.8206874	0.6314494
0.6451382	0.5292548	0.3374412	0.7854794	0.4562776	0.4023230	0.3185699	0.6780210	0.6204042	0.4787887	0.6557731	0.5791644	0.4579555	0.1261099	0.4176969	0.6662489	0.3649598	0.7950487	0.0493772	0.1944622	0.4858271	0.1525244	0.1098401	0.0296507	0.0537457	0.4785384	0.2464968	0.3201668	0.6565594	0.0362721	0.3883270	0.1014805	0.2115537	0.5117335	0.5261536	0.1969119	0.7268310	0.0790567	0.0299382	0.5649140	0.2705936	0.0990897	0.6887603	0.0739545	0.0216909	0.5956865	0.6424441	0.6327115	0.7816246	0.4234061	0.7410518	0.6376200	0.0925845	0.5439319	0.4096321	0.2762784	0.7264044	0.5130295	0.4016916	0.2490675	0.1464055	0.7385012	0.7813017	0.3095492	0.6457966	0.1988740	0.7575862	0.3395339	0.1646032	0.5774534	0.6478705	0.0366322	0.1051771	0.0535694	0.0476377	0.0000000	0.6986345	0.5597930	0.4504663	0.7072791	0.4821584	0.2531345	0.5308648	0.6209405	0.0000000	0.7949687	0.7076626	0.7144044	0.6656892	0.5363100	0.7564327	0.1759153	0.6441366	0.5616949	0.5858823	0.6467303	0.4558059	0.3872367	0.6786977	0.6124949
0.8281453	0.5404128	0.2483724	0.5527022	0.4926205	0.3214331	0.2037102	0.6357618	0.6810878	0.3562165	0.6091058	0.5491689	0.4180938	0.0589744	0.5480037	0.7893794	0.2980539	0.8157028	0.0566326	0.1179344	0.5699259	0.2081707	0.1227708	0.0225300	0.0628046	0.5493637	0.1510044	0.3588123	0.5478097	0.0430155	0.4369807	0.1347240	0.2054365	0.4520606	0.4261468	0.2258441	0.5713433	0.1714362	0.0189332	0.5120470	0.3535523	0.2539400	0.5551008	0.0219611	0.0419882	0.7968800	0.8287583	0.5980432	0.7136795	0.3257255	0.7216062	0.6208856	0.0916052	0.5878655	0.5381109	0.2356638	0.7626394	0.6714013	0.4273226	0.2532724	0.1552223	0.6890065	0.7580575	0.3403026	0.6929580	0.1920931	0.7233965	0.3672090	0.1306669	0.5934604	0.6438470	0.0204898	0.1141338	0.0564885	0.0335417	0.3881968	0.4679108	0.0000000	0.6166574	0.6799276	0.7178533	0.3560040	0.0000000	0.7126050	0.7268617	0.7340570	0.6634787	0.6211990	0.6126249	0.6205349	0.7178855	0.1661791	0.5821199	0.6386390	0.6774564	0.6860822	0.6113031	0.3950376	0.6651546	0.7060209
0.7926488	0.6575741	0.3285712	0.7412815	0.5094205	0.3890527	0.4517316	0.6892596	0.6887868	0.4695750	0.7253564	0.4171783	0.4912691	0.1652952	0.5726688	0.7220652	0.3340672	0.6617336	0.1116835	0.1886345	0.3846542	0.1471277	0.1194021	0.0283522	0.0462818	0.5889349	0.1373897	0.2682018	0.6650907	0.0759775	0.3712763	0.1345018	0.2205549	0.5365994	0.4668682	0.2423403	0.7363558	0.1161933	0.0290847	0.7183542	0.2626759	0.0981626	0.5365470	0.0486757	0.0473544	0.6830710	0.8280600	0.6340740	0.6080445	0.2832765	0.7488975	0.7017756	0.1541736	0.6396688	0.3817406	0.1545880	0.7722771	0.6926611	0.4493209	0.2118725	0.1897011	0.6343474	0.6894309	0.3460784	0.6481584	0.1737795	0.6621601	0.2973114	0.1769407	0.6976483	0.6098749	0.0582578	0.1077890	0.0503765	0.0494658	0.3942632	0.5695544	0.0000000	0.5011785	0.7158842	0.4362162	0.5988653	0.4456726	0.7052040	0.0000000	0.7622343	0.6739283	0.7980739	0.7489124	0.5734123	0.6933153	0.1070421	0.6460976	0.5397157	0.5269667	0.6727617	0.4020250	0.3596650	0.6445011	0.6265494
0.6010936	0.6359629	0.3780370	0.8400170	0.6174926	0.5033007	0.3783825	0.6984519	0.7062593	0.4934743	0.5929493	0.0000000	0.7371798	0.3774268	0.7173041	0.6281358	0.4389849	0.6601034	0.4524612	0.6362065	0.0000000	0.1812090	0.1224834	0.0604846	0.0804372	0.4623083	0.2520153	0.3287240	0.6117552	0.6970456	0.3770672	0.1902511	0.7106347	0.6517443	0.4479703	0.2054088	0.6091382	0.1020843	0.6906072	0.6807991	0.3575085	0.1084523	0.7582429	0.2106551	0.4453486	0.7612018	0.7401684	0.4202723	0.7895792	0.5755941	0.6635145	0.6265465	0.1353137	0.6981165	0.5010478	0.2181224	0.7322547	0.6665703	0.4043717	0.5837403	0.1541583	0.7549636	0.6457546	0.3268405	0.8418940	0.2281030	0.6968016	0.4877779	0.1655149	0.5442129	0.2500533	0.0464476	0.1521279	0.0804143	0.0598075	0.0158152	0.6924975	0.6066031	0.2022667	0.7017779	0.4448123	0.0656211	0.4928645	0.5482287	0.6679240	0.7823799	0.0493268	0.0035027	0.0683603	0.6626706	0.6770648	0.2350813	0.5282263	0.5525489	0.5859668	0.5756945	0.5167225	0.3525835	0.7963345	0.7572816
0.6041280	0.5490599	0.3474419	0.7549276	0.6090015	0.3741663	0.2902468	0.5679309	0.6766864	0.4029934	0.6177924	0.4920097	0.3955705	0.4346020	0.4683096	0.0000000	0.1513238	0.6518165	0.6619714	0.5837288	0.0000000	0.6198699	0.5845593	0.7742982	0.8141298	0.0543956	0.7348439	0.6941006	0.0834868	0.7092663	0.6374338	0.7751846	0.7335618	0.7408236	0.0233443	0.5144042	0.0852777	0.6906894	0.7379943	0.6737277	0.7305721	0.6882231	0.7482145	0.1844101	0.5267953	0.8216648	0.6853998	0.5924172	0.6326450	0.5363012	0.6182836	0.7227530	0.2104552	0.6282945	0.5844040	0.6256272	0.0001577	0.6456369	0.6814835	0.2258949	0.0003161	0.3535659	0.7729344	0.0823994	0.7457752	0.2634160	0.6163318	0.3850653	0.1451606	0.6691321	0.2639968	0.2544308	0.7549947	0.3855658	0.4636891	0.0264191	0.7244566	0.7222572	0.2753708	0.7407352	0.5244698	0.0707733	0.4454342	0.5942458	0.6123376	0.7245998	0.0618704	0.0018732	0.0911233	0.6091829	0.7990163	0.1684034	0.5919381	0.5289324	0.7325661	0.6251939	0.4493968	0.4348649	0.7892598	0.6900455
0.5833645	0.5699787	0.3786093	0.6177808	0.5068669	0.3450591	0.2302793	0.7211693	0.5520687	0.4153248	0.6156083	0.4435289	0.3767339	0.3830540	0.5654725	0.0000000	0.1554106	0.6819529	0.1514814	0.4164771	0.4093198	0.6855932	0.8624682	0.8869038	0.7524150	0.0363252	0.7913118	0.8012547	0.0552482	0.0215192	0.6324283	0.7071552	0.2591033	0.5337686	0.0315701	0.4854334	0.1149249	0.7061415	0.0300778	0.5229113	0.6723141	0.6805798	0.7661970	0.0500144	0.0262902	0.6690395	0.7555496	0.6576292	0.6899273	0.2656045	0.5988460	0.5832276	0.0865808	0.7006231	0.5505126	0.5442313	0.0016725	0.6272187	0.8140545	0.2285255	0.3935135	0.6724901	0.0000000	0.2363103	0.7004740	0.2382924	0.6248793	0.3338573	0.1302256	0.7952192	0.5873466	0.2458513	0.7443437	0.3970488	0.4865673	0.0094420	0.6746424	0.6652185	0.2281057	0.7437757	0.4220880	0.0898227	0.4945597	0.5107786	0.6431920	0.8404010	0.0534222	0.0033570	0.0745390	0.4882255	0.5882316	0.1096072	0.7349704	0.6072089	0.6435035	0.7631163	0.5119848	0.3538791	0.6489663	0.6536113
0.6300509	0.5096991	0.3192207	0.8756504	0.3782371	0.6054233	0.2735975	0.5739750	0.5614723	0.3934115	0.6076679	0.4649944	0.4696923	0.1219859	0.5993593	0.8014254	0.2732468	0.8272285	0.4137596	0.3709085	0.0000000	0.2080854	0.1423595	0.0512520	0.0902969	0.4643811	0.2231101	0.3596716	0.6038834	0.6054277	0.4428631	0.1584978	0.5616635	0.7364113	0.4164067	0.1759251	0.6715064	0.1066822	0.8007761	0.6423622	0.2616678	0.1309347	0.5923922	0.1669343	0.4641881	0.5399451	0.9065570	0.3626773	0.8208232	0.5734555	0.6031043	0.6665004	0.1945130	0.6247189	0.3713758	0.2568890	0.6502057	0.6769679	0.4275976	0.2093624	0.1500930	0.7494910	0.7098331	0.2298786	0.0000000	0.7358061	0.6803277	0.7362734	0.5139077	0.6930683	0.0102834	0.0793448	0.1057467	0.0600198	0.0545166	0.0161197	0.6440891	0.6578608	0.2375916	0.7846790	0.4687493	0.0713120	0.4455219	0.6116675	0.7270848	0.7988284	0.0735870	0.0007337	0.0400070	0.5127110	0.6815533	0.1682482	0.5923129	0.4858159	0.6376274	0.6470372	0.4423920	0.3803439	0.6521534	0.5876436
